6.6E9		0.3E9 		-0.9E9	2.0E-9	 	0.3E-9		-0.1E-9
2.2E9		2.0E9		-1.5E9	4.1E-9	 	8.9E-9		-1.9E-9
0.2E9	 	1.4E9		-0.1E9	25.6E-9		12.3E-9		-22.6E-9
2.8E9	 	0.5E9		-2.1E9	2.4E-9	 	6.9E-9		-0.4E-9
7.6E9	 	0.4E9		-0.5E9	2.1E-9	 	0.1E-9		-0.1E-9
2.5E9	 	1.8E9		-2.2E9	3.0E-9	 	24.7E-9		-1.3E-9
4.2E9	 	0.4E9		-1.5E9	2.1E-9	 	1.2E-9		-0.2E-9
6.8E9	 	0.3E9		-0.7E9	2.1E-9	 	0.3E-9		-0.1E-9
12.3E9		0.3E9		-2.1E9	2.1E-9	 	0.4E-9		-0.0E-9
3.5E9	 	2.0E9		-2.3E9	2.7E-9	 	5.2E-9		-1.0E-9
6.9E9	 	0.3E9		-3.8E9	1.8E-9	 	2.2E-9		-0.1E-9
6.3E9	 	0.1E9		-0.1E9	2.1E-9	 	0.0E-9		-0.0E-9
