7.25	-1.47	0.35	0.32
7.75	-1.81	0.23	0.28
8.25	-2.26	0.21	0.16
8.75	-2.65	0.15	0.15
9.25	-3.14	0.12	0.11
9.75	-3.69	0.12	0.13
10.25	-4.27	0.38	0.86

7.25	-1.63	0.54	0.54
7.75	-2.07	0.45	0.41
8.25	-2.49	0.38	0.32
8.75	-2.96	0.32	0.30
9.25	-3.47	0.32	0.35
9.75	-4.11	0.41	0.57
10.25	-4.61	0.72	0.82
10.75	-5.24	0.90	0.57

7.25	-1.73	1.01	0.84
7.75	-2.28	0.84	0.64
8.25	-2.88	0.75	0.57
8.75	-3.45	0.57	0.60
9.25	-4.21	0.63	0.78
9.75	-5.31	1.01	1.64
